CORRECT,INCORRECT
contented,contenpted
for,fro
hate,hati
two,twio
name,naimer
corrupt,carruot
night,nigth
proclaim,proclan
driven,dirven
compare,compair
level,leval
necessary,neccesary
defunction,defenition
until,intial
her,ther
built,biult
italy,totaly
understand,undersand
receive,recieve
sources,sorces
whether,wether
desiccate,desicate
between,beetween
completely,completly
account,acount
special,speaical
latest,lates
perhaps,perhapse
remember,rember
particular,particulaur
awful,awfall
challenges,chalenges
laugh,lagh
often,ofen
description,discription
extended,extented
wanted,wantid
parallel,paralel
planned,planed
transferred,transfred
stomach,stomac
unfortunately,unfortunatly
access,acess
scarcely,scarcly
experience,experance
possible,possable
embarrass,embaras
visitors,vistors
decided,descided
benefit,benifit
consider,concider
fails,failes
career,carrer
certain,cirtain
poem,poame
lieu,liew
different,diffrent
opposite,opisite
appeal,apeal
employees,emploies
encourage,encorage
data,dsata
proviso,provisoe
moving,moveing
allow,alow
credit,creadit
doubt,doupt
ordinary,ordenary
table,tasble
useful,usful
pleasant,plesent
between,beeteen
accept,acept
majority,majorty
prepared,prepaired
sufficient,suficient
profit,proffit
compared,comppared
now,noe
titles,tittles
believe,belive
resulting,reulting
decides,descides
minutes,muinutes
sheets,sheertes
overall,overal
indeed,indead
separated,seperated
length,lengh
building,biulding
and,anf
comments,coments
the,thw
appointments,apointments
demands,diemands
separation,seperation
inquiries,equiries
receiving,recieving
conceived,concieved
together,togehter
approach,aproach
scheme,scheem
there,thear
build,biuld
obtaining,optaning
commercial,comersial
description,desription
search,serch
necessity,nessesity
simular,similar
again,agiin
patterns,pattarns
variety,variatry
decision,descisions
composed,compossed
seen,seeen
months,monthes
were,wer
brief,brif
successive,sucsesive
per,pere
commit,comit
except,excxept
when,whn
shown,hown
will,wil
suited,suted
government,goverment
conference,conferance
proceeding,proceding
ability,ablity
are,arte
many,mony
within,withing
session,sesion
false,faulse
annual,anual
reference,refereence
employment,empolyment
set,et
particular,paerticulaur
annoying,anoying
expense,expence
receive,recieve
safeguard,safegaurd
confirmation,confermation
advantageous,advantageos
before,befor
numbers,numbuers
according,acording
opinion,oppinion
advice,advire
especially,especaily
proportions,proprtions
stopped,stoped
examination,eximination
lonely,lonley
interest,intrest
humour,humor
thoughts,thorts
timing,timeing
difficulty,dificulty
careers,currers
register,rgister
night,nite
therefore,therefoe
busy,buisy
easily,easyly
speaking,speeking
difficult,dificult
base,basse
years,yesars
means,meens
neither,niether
required,reequired
correspondence,correspondance
qualities,quaties
intelligence,inteligence
receives,recives
would,whould
immediate,imediate
